Título,Nota,N_Avaliações,Desconto,Marca,Material,Gênero,Temporada,Qtd_Vendidos,Preço,Nota_MinMax,N_Avaliações_MinMax,Desconto_MinMax,Preço_MinMax,Marca_Cod,Material_Cod,Temporada_Cod,Qtd_Vendidos_Cod,Marca_Freq,Material_Freq
Pijama Cirurgico  Scrub Roupa Privativa Hospitalar - Unissex,4.0,273.0,0.0,toronto uniformes profissionais,poliéster,Sem gênero,não definido,1000.0,69.9,0.6296296296296297,0.0299691494050242,0.0,0.1006445892022782,781,122,1,1000.0,0.0022737608003638,0.1173260572987721
Kit 3 Short Jeans Feminino Cintura Alta Barato Atacado,4.4,507.0,9.0,menina linda,jean,Feminino,primavera/verão,1000.0,129.2,0.777777777777778,0.0557514323490524,0.0655737704918032,0.2017666518877255,509,74,7,1000.0,0.0100045475216007,0.0254661209640745
Blusa + Calça Térmica Treino Futebol Criança Infantil Fleece,4.7,58.0,5.0,roupa zero grau,termico unissex,Sem gênero infantil,outono/inverno,100.0,78.03,0.888888888888889,0.006280299691494,0.0,0.1145083728385798,669,166,3,100.0,0.0022737608003638,0.0009095043201455
Calça Jeans Levis 511 Original Slim Fit Elastano,4.9,14.0,0.0,levi's,algodao/elastano,Masculino,outono/inverno,100.0,102.70571283095724,0.9629629629629632,0.001432349052446,0.0,0.0,436,24,3,100.0,0.0090950432014552,0.0009095043201455
Roupa Apicultor Tirar Abelha Mel Sr Premium Antiferroada,4.5,11.0,0.0,sr apicultura,poliamida,Sem gênero,não definido,50.0,460.9,0.8148148148148148,0.00110180696342,0.0,0.7674022031990724,731,116,1,50.0,0.0050022737608003,0.0195543428831286
Calça Levis Jeans Masculina Tradicional Elastano C Baixa 514,4.3,52.0,0.0,levi's,algodão e elastano,Masculino,outono/inverno,500.0,102.70571283095724,0.7407407407407406,0.005619215513442,0.0,0.0,436,31,3,0.0,0.0090950432014552,0.0009095043201455
Calça Jogger Masculina Jeans Sarja Premium Elástico Lycra,4.5,11.0,0.0,gbgsports,sarja,Masculino,outono/inverno,100.0,48.9,0.8148148148148148,0.00110180696342,0.0,0.0648340779645987,324,138,3,100.0,0.0059117780809458,0.0154615734424738
Roupa Infantil Social Menino  Bebê Batizado Festa Casamento,4.8,421.0,6.0,poderoso baby moda acessórios,Desconhecido,Bebês,não definido,1000.0,136.59,0.925925925925926,0.0462758924636403,0.0163934426229508,0.2143685413185089,615,178,1,1000.0,0.0045475216007276,0.0
Calça Levis Jeans Masculina Tradicional Elastano C Baixa 514,4.7,12.0,0.0,levi's,algodão e elastano,Masculino,outono/inverno,50.0,102.70571283095724,0.888888888888889,0.001211987659762,0.0,0.0,436,31,3,50.0,0.0090950432014552,0.0009095043201455
Bermuda Camuflada Poly  Ripstop  6 Bolsos Safo Número Maior,4.560936497754971,0.0,0.0,safo,poly rip stop,Masculino,não definido,2.0,102.70571283095724,0.0,0.0,0.0,0.0,685,128,1,2.0,0.0022737608003638,0.0022737608003638
Roupa Festa Tik Tok Infantil Com Tiara Cinto E Corrente Neon,4.7,140.0,6.0,estilo fada,Desconhecido,Meninas,não definido,1000.0,78.25,0.888888888888889,0.0153151167915381,0.0163934426229508,0.1148835305753555,272,178,1,1000.0,0.0009095043201455,0.0
Kit 8 Peças De Roupa Infantil Masculino 4 Camisas + 4 Shorts,4.4,388.0,10.0,imperio kids,Desconhecido,Bebês,não definido,1000.0,112.82,0.777777777777778,0.0426399294843543,0.0819672131147541,0.1738344531223355,364,178,1,1000.0,0.0086402910413824,0.0
Cinto Porta Número E Gel Para Corrida - Ciacool,4.8,37.0,0.0,ciacool,Desconhecido,Sem gênero,não definido,500.0,36.9,0.925925925925926,0.003966505068312,0.0,0.0443709286859247,182,178,1,0.0,0.0040927694406548,0.0
Calça Preta Ou Azul Uniforme Tactel 3 Bolsos,4.0,18.0,0.0,c. surf,432261,Masculino,primavera/verão,1000.0,26.9,0.6296296296296297,0.001873071837814,0.0,0.0273183042870297,156,4,7,1000.0,0.0045475216007276,0.0027285129604365
Kit 10 Short Jeans Feminino Com Cintura Alta Atacado Revenda,4.560936497754971,0.0,0.0,stillger,algodão,Feminino,primavera/verão,5.0,199.99,0.0,0.0,0.0,0.3224821800075031,736,25,7,5.0,0.0327421555252387,0.176443838108231
Roupa Ração Em Oxford Masculino 2 Peças Candomblé E Umbanda,4.6,394.0,0.0,atacadao beira mar,Desconhecido,Masculino,não definido,1000.0,49.9,0.8518518518518517,0.0433010136624063,0.0,0.0665393404044882,59,178,1,1000.0,0.0013642564802182,0.0
Roupa Apicultor E Luva Tirar Abelha Mel Promoção C Mascara,4.1,190.0,0.0,sr apicultura,poliéster,Sem gênero,não definido,1000.0,189.9,0.6666666666666666,0.0208241516086381,0.0,0.3052760819890181,731,122,1,1000.0,0.0050022737608003,0.1173260572987721
4 Peça Bermuda Mauricinho Tactel Short Infantil Estampado,3.9,27.0,0.0,rebel cat,microfibra,Meninos,primavera/verão,100.0,52.17,0.5925925925925927,0.002864698104892,0.0,0.0704102861430374,647,101,7,100.0,0.0086402910413824,0.0300136425648021
Roupa Chef De Cozinha Dolmã Masculino Manga Curta Oxford,4.560936497754971,0.0,5.0,m l freitas confecções,poliéster,Não Informado,não definido,50.0,68.54,0.0,0.0,0.0,0.0983254322840285,467,122,1,50.0,0.0013642564802182,0.1173260572987721
Roupa De Bebê Romper Menina Bailarina Top C/ Laço Luxo Lindo,4.7,39.0,10.0,petit ateliê,Desconhecido,Bebês,primavera/verão,100.0,72.61,0.888888888888889,0.004186866460996,0.0819672131147541,0.1052658504143787,599,178,7,100.0,0.0013642564802182,0.0
2 Máscara De Proteção Lupo Dupla Camada Reutilizável Lavável,4.9,52.0,34.0,lupo,Desconhecido,Não Informado,não definido,1000.0,39.39,0.9629629629629632,0.005619215513442,0.4754098360655738,0.0486170321612496,463,178,1,1000.0,0.0422919508867667,0.0
Roupa Ere Umbanda Candomble,4.560936497754971,0.0,0.0,cigana dos ventos,tricoline,Masculino,primavera/verão,5.0,139.61,0.0,0.0,0.0,0.2195184338869752,184,168,7,5.0,0.0013642564802182,0.0013642564802182
Kit Com 2 Shorts Feminino Básico Sem Costura Loba Macio Lupo,4.560936497754971,0.0,0.0,lupo,poliamida,Feminino,primavera/verão,3.0,72.9,0.0,0.0,0.0,0.1057603765219467,463,116,7,3.0,0.0422919508867667,0.0195543428831286
Kit 6 Cuecas/calcinhas Treinamento P/ Desfralde Dos Bebes,4.4,363.0,0.0,importado,Desconhecido,Bebês,não definido,1000.0,139.9,0.777777777777778,0.0398854120758043,0.0,0.2200129599945431,367,178,1,1000.0,0.0009095043201455,0.0
Roupa Conjunto Térmico Infantil Forrado Grossa+brinde,4.7,103.0,0.0,neve,poliéster elastano fleece,Meninas,outono/inverno,1000.0,78.9,0.888888888888889,0.011238431026884,0.0,0.1159919511612837,563,123,3,1000.0,0.0013642564802182,0.0004547521600727
Kit 3 Short Laço Cintura Alta Shortinho Curto Roupa Feminina,4.560936497754971,0.0,0.0,outros,bengaline,Feminino,primavera/verão,5.0,110.69,0.0,0.0,0.0,0.1702022441253709,586,41,7,5.0,0.0022737608003638,0.003638017280582
Cueiro Swaddle Ajustável 100% Algodão,4.4,80.0,11.0,miracle baby,Desconhecido,Bebês,não definido,1000.0,104.36,0.777777777777778,0.008704275011018,0.0983606557377049,0.1594079328808703,520,178,1,1000.0,0.0004547521600727,0.0
Faixa Peitoral Para Ginecomastia Reduz Volume Do Peito Homem,4.4,78.0,18.0,men'spa,"82% poliéster, 18% elastodieno",Masculino,não definido,1000.0,119.31,0.777777777777778,0.008483913618334,0.2131147540983606,0.1849016063572184,507,10,1,1000.0,0.001819008640291,0.001819008640291
"Kit Com 4 Short Para Usar Embaixo Da Roupa, Vestido, Saia",4.2,88.0,11.0,silvest lingerie,poliéster,Feminino,primavera/verão,1000.0,57.93,0.7037037037037038,0.009585720581754,0.0983606557377049,0.0802325977968009,719,122,7,1000.0,0.0022737608003638,0.1173260572987721
Vestido Anágua Uso Debaixo Combinete Combinação Segunda Pele,4.6,63.0,0.0,moda shop roupa feminina,Desconhecido,Feminino,não definido,100.0,56.4,0.8518518518518517,0.006831203173204,0.0,0.07762354626377,530,178,1,100.0,0.001819008640291,0.0
Faixa De Cabelo Lupo Sport Fitness Yoga Pilates 15010-001,4.9,45.0,0.0,lupo,Desconhecido,Feminino,não definido,500.0,41.57,0.9629629629629632,0.004847950639048,0.0,0.0523345042802087,463,178,1,0.0,0.0422919508867667,0.0
Kit 10 Shorts Jeans Feminino Cintura Alta Atacado Revenda,4.7,9.0,0.0,stillger,algodão,Feminino,primavera/verão,50.0,207.91,0.888888888888889,0.000881445570736,0.0,0.335987858531428,736,25,7,50.0,0.0327421555252387,0.176443838108231
Kit Roupa Infantil Calça + Camiseta Camuflada Exército,4.7,38.0,0.0,atack,terbrim,Meninos,outono/inverno,100.0,78.22,0.888888888888889,0.004076685764654,0.0,0.1148323727021588,63,164,3,100.0,0.0009095043201455,0.0009095043201455
Touca+luva+meia Recém Nascido Três Cores.,4.6,62.0,0.0,bebê bacana,Desconhecido,Bebês,não definido,100.0,39.9,0.8518518518518517,0.006721022476862,0.0,0.0494867160055932,112,178,1,100.0,0.0009095043201455,0.0
Macacão Roupa De Apicultor Completa Proteção Contra Abelhas,4.3,178.0,24.0,celi,brim 100% algodão,Sem gênero,não definido,1000.0,203.88,0.7407407407407406,0.0195019832525341,0.3114754098360656,0.3291156508986733,177,46,1,1000.0,0.0077307867212369,0.0090950432014552
Fita Dupla Face Para Levantar Peito E Segurar Roupa Decotada,4.5,86.0,46.0,esquarcio import fashion tape,Desconhecido,Sem gênero,não definido,1000.0,71.87,0.8148148148148148,0.00936535918907,0.6721311475409837,0.1040039562088605,269,178,1,1000.0,0.0022737608003638,0.0
Conjunto Roupa De Protecao P/ Defensivos Veneno Completo,4.6,19.0,0.0,descartes,algodão,Sem gênero,não definido,100.0,152.9,0.8518518518518517,0.001983252534156,0.0,0.2421813717131067,226,25,1,100.0,0.0027285129604365,0.176443838108231
Kit 3 Short Feminino Básico Sem Costura Loba Resistente Lupo,4.560936497754971,0.0,0.0,lupo,poliamida,Feminino,primavera/verão,3.0,127.9,0.0,0.0,0.0,0.1995498107158692,463,116,7,3.0,0.0422919508867667,0.0195543428831286
Body De Bebê Temático M&m Color Mesversário Roupa De Bebe,4.7,72.0,5.0,laura baby,Desconhecido,Bebês,primavera/verão,500.0,22.34,0.888888888888889,0.007822829440282,0.0,0.0195423075611336,430,178,7,0.0,0.0004547521600727,0.0
Macacão Apicultor Roupa Proteção Abelha Com Máscara + Brinde,4.1,331.0,10.0,celi,algodão,Sem gênero,não definido,1000.0,166.21,0.6666666666666666,0.0363596297928602,0.0819672131147541,0.2648784147880358,177,25,1,1000.0,0.0077307867212369,0.176443838108231
Roupa Ração Em Oxford Masculino Branca Candomblé Umbanda 2pç,4.4,52.0,0.0,salve jorge guerreiro,Desconhecido,Masculino,não definido,100.0,48.9,0.777777777777778,0.005619215513442,0.0,0.0648340779645987,688,178,1,100.0,0.0004547521600727,0.0
